OBJECTID,Value,Count,Litho
1,1,74790.000000000000000,vi____
2,2,137974.000000000000000,vb____
3,3,69073.000000000000000,pa__mt
4,4,593200.000000000000000,mt____
5,5,271312.000000000000000,pa____
6,6,214502.000000000000000,suad__
7,7,42513.000000000000000,sumxcl
8,8,468884.000000000000000,sumx__
9,9,493060.000000000000000,ssmx__
10,10,12288.000000000000000,vipy__
11,11,34321.000000000000000,pb____
12,12,22026.000000000000000,pi____
13,13,116898.000000000000000,ssss__
14,14,15025.000000000000000,sspy__
15,15,33686.000000000000000,sula__
16,16,892.000000000000000,vb__pr
17,17,356640.000000000000000,smmx__
18,18,8741.000000000000000,ssmxev
19,19,116818.000000000000000,sssh__
20,20,78191.000000000000000,smmxev
21,21,55222.000000000000000,wb____
22,22,59045.000000000000000,mtam__
23,23,5729.000000000000000,mtamfe
24,24,27089.000000000000000,mtampr
25,25,11106.000000000000000,py__vr
26,26,2150.000000000000000,mt__fe
27,27,1009.000000000000000,pa__vr
28,28,5605.000000000000000,mt__pr
29,29,78622.000000000000000,suss__
30,30,272032.000000000000000,suds__
31,31,48794.000000000000000,mtpu__
32,32,5967.000000000000000,vi__sr
33,33,3227.000000000000000,ssla__
34,34,1598.000000000000000,scpumt
35,35,193.000000000000000,va__pr
36,36,39227.000000000000000,va____
37,37,22299.000000000000000,ssmxvr
38,38,70052.000000000000000,ssmxcl
39,39,12211.000000000000000,sspyvr
40,40,1417.000000000000000,vi__mt
41,41,10176.000000000000000,vb__sr
42,42,6804.000000000000000,ssssmt
43,43,5705.000000000000000,pb__mt
44,44,1138.000000000000000,vb__mt
45,45,1686.000000000000000,ssmxch
46,46,623.000000000000000,vi__pr
47,47,3488.000000000000000,sspycl
48,48,59784.000000000000000,scsh__
49,49,391.000000000000000,mtpufe
50,50,713.000000000000000,pi__mt
51,51,21697.000000000000000,ssmxmt
52,52,6716.000000000000000,scmxmt
53,53,705.000000000000000,paammt
54,54,66.000000000000000,mt__ch
55,55,1057.000000000000000,ssssch
56,56,2846.000000000000000,ssssvr
57,57,154074.000000000000000,scpu__
58,58,9468.000000000000000,smshmt
59,59,91457.000000000000000,scmx__
60,60,81372.000000000000000,smmxmt
61,61,23386.000000000000000,smss__
62,62,31.000000000000000,papumt
63,63,13215.000000000000000,scshmt
64,64,16233.000000000000000,scss__
65,65,8244.000000000000000,ssshmt
66,66,38.000000000000000,pyammt
67,67,75.000000000000000,mtamch
68,68,433.000000000000000,va__mt
69,69,50214.000000000000000,smsh__
70,70,5483.000000000000000,ssmxgl
71,71,13318.000000000000000,scpy__
72,72,4276.000000000000000,nd____
73,73,13139.000000000000000,scmxev
74,74,146.000000000000000,mt__ph
75,75,713.000000000000000,smmxph
76,76,66.000000000000000,py__mt
77,77,4691.000000000000000,vapy__
78,78,272.000000000000000,pi__vr
79,79,127.000000000000000,vapypr
80,80,117.000000000000000,mtpupr
81,81,230.000000000000000,vbammt
82,82,4946.000000000000000,vipysr
83,83,17173.000000000000000,py____
84,84,5219.000000000000000,va__sr
85,85,6639.000000000000000,vapysr
86,86,3826.000000000000000,py__sr
87,87,143.000000000000000,vapu__
88,88,25764.000000000000000,vbpy__
89,89,9596.000000000000000,scmxph
90,90,6023.000000000000000,vbpysr
91,91,11387.000000000000000,smpy__
92,92,4990.000000000000000,suadgl
93,93,3684.000000000000000,ssshev
94,94,15629.000000000000000,supy__
95,95,81250.000000000000000,supu__
96,96,1929.000000000000000,sumxvr
97,97,14501.000000000000000,ev____
98,98,278.000000000000000,ssssev
99,99,1216.000000000000000,vbpusr
100,100,5844.000000000000000,sssscl
101,101,10307.000000000000000,scmxvr
102,102,549.000000000000000,vapusr
103,103,24666.000000000000000,smmxvr
104,104,1058.000000000000000,mtpuch
105,105,16013.000000000000000,smpyvr
106,106,4562.000000000000000,smssev
107,107,1309.000000000000000,smssvr
108,108,1234.000000000000000,sspyev
109,109,14028.000000000000000,smmxcl
110,110,523039.000000000000000,ig____
111,111,98.000000000000000,vbpuch
112,112,53252.000000000000000,sush__
113,113,610.000000000000000,pb__vr
114,114,41749.000000000000000,sumxgl
115,115,17638.000000000000000,smpyev
116,116,5153.000000000000000,smpymt
117,117,3738.000000000000000,scshbs
118,118,2306.000000000000000,smshbs
119,119,693.000000000000000,smpybs
120,120,2807.000000000000000,mtpusr
121,121,801.000000000000000,pymxvr
122,122,3355.000000000000000,smmxbs
123,123,18616.000000000000000,smadsu
124,124,2699.000000000000000,smadgl
125,125,6147.000000000000000,scshev
126,126,40801.000000000000000,sulo__
127,127,290.000000000000000,sulovr
128,128,61.000000000000000,ssmxpr
129,129,5756.000000000000000,smmxgl
130,130,1442.000000000000000,ssssgl
131,131,4725.000000000000000,ssshcl
132,132,8941.000000000000000,mt__sr
133,133,5776.000000000000000,mt__vr
134,134,224.000000000000000,pb__sr
135,135,1313.000000000000000,sushev
136,136,3208.000000000000000,scpuch
137,137,2709.000000000000000,scmxch
138,138,32.000000000000000,smssgl
139,139,4561.000000000000000,smmxch
140,140,23133.000000000000000,sudsev
141,141,1997.000000000000000,scshch
142,142,7.000000000000000,pipy__
143,143,3261.000000000000000,smmxwe
144,144,72.000000000000000,smshgl
145,145,1747.000000000000000,vbpymt
146,146,6.000000000000000,ssshpr
147,147,269.000000000000000,smssch
148,148,296.000000000000000,smmxpr
149,149,334.000000000000000,scla__
150,150,4637.000000000000000,mtamsr
151,151,34.000000000000000,sumxfe
152,152,296.000000000000000,ssmxfe
153,153,2237.000000000000000,ssshch
154,154,232.000000000000000,mtamvr
155,155,1295.000000000000000,scssch
156,156,46.000000000000000,vaammt
157,157,590.000000000000000,smpych
158,158,5697.000000000000000,scpyvr
159,159,20.000000000000000,sspyfe
160,160,22.000000000000000,pagr__
161,161,2.000000000000000,mtpyfe
162,162,144.000000000000000,ssshfe
163,163,46.000000000000000,va__fe
164,164,2.000000000000000,pa__ev
165,165,36.000000000000000,pagrmt
166,166,1263.000000000000000,scpuvr
167,167,563.000000000000000,vbpu__
168,168,24046.000000000000000,smshev
169,169,310.000000000000000,smmxfe
170,170,2002.000000000000000,smshch
171,171,13.000000000000000,smshpr
172,172,470.000000000000000,evpu__
173,173,11.000000000000000,mtlafe
174,174,349.000000000000000,vapymt
175,175,2335.000000000000000,sspymt
176,176,4652.000000000000000,ssmxbs
177,177,5.000000000000000,paamfe
178,178,9.000000000000000,pi__fe
179,179,214.000000000000000,vipymt
180,180,88.000000000000000,pb__fe
181,181,36.000000000000000,vbgrmt
182,182,110.000000000000000,ssmxph
183,184,762.000000000000000,sspybs
184,185,2713.000000000000000,ssshbs
185,186,6.000000000000000,vbpybs
186,187,326.000000000000000,pa__we
187,188,3286.000000000000000,smshvr
188,189,174.000000000000000,pa__ph
189,190,1.000000000000000,sumxpr
190,191,2829.000000000000000,scshvr
191,192,51797.000000000000000,smmxsu
192,193,168.000000000000000,smshpt
193,194,1163.000000000000000,vipypr
194,195,1563.000000000000000,supuev
195,196,5.000000000000000,pbam__
196,197,5402.000000000000000,ssmxsu
197,198,3036.000000000000000,smsscl
198,199,1161.000000000000000,smssmt
199,200,11912.000000000000000,sumxev
200,201,1.000000000000000,pa__pr
201,202,70.000000000000000,scsspr
202,203,70.000000000000000,supucl
203,204,393.000000000000000,smlo__
204,205,30.000000000000000,ev__su
205,206,282.000000000000000,scssvr
206,207,7.000000000000000,mtpumt
207,208,1574.000000000000000,ssshsu
208,209,3380.000000000000000,sssswe
209,210,45.000000000000000,mtgrsr
210,211,37.000000000000000,susswe
211,212,1584.000000000000000,mt__we
212,213,7.000000000000000,papyvr
213,214,6126.000000000000000,mtgr__
214,215,1226.000000000000000,ssshvr
215,216,6.000000000000000,vipycl
216,217,702.000000000000000,pbammt
217,219,2.000000000000000,pa__pt
218,220,106.000000000000000,smammt
219,221,221.000000000000000,mtpy__
220,222,1264.000000000000000,mtpysr
221,223,35.000000000000000,vapycl
222,225,1931.000000000000000,sssssu
223,226,8.000000000000000,piammt
224,227,7804.000000000000000,smpycl
225,228,2578.000000000000000,mtpyvr
226,229,1.000000000000000,vi__bs
227,230,3258.000000000000000,smshcl
228,231,14.000000000000000,scpusu
229,232,39.000000000000000,mt__gl
230,233,9.000000000000000,ssammt
231,235,1037.000000000000000,vb__we
232,236,15.000000000000000,vimxsr
233,237,22.000000000000000,mtmx__
234,239,98.000000000000000,mtmxch
235,240,4.000000000000000,pipyvr
236,241,72.000000000000000,smla__
237,242,6957.000000000000000,ssmxwe
238,243,189.000000000000000,ssshpt
239,244,19957.000000000000000,vbpywe
240,245,241.000000000000000,sssspr
241,246,12.000000000000000,mt__pt
242,247,42.000000000000000,mtpupt
243,248,6.000000000000000,smsspt
244,249,5.000000000000000,scshpt
245,250,216.000000000000000,mtpuwe
246,251,25.000000000000000,sssspt
247,253,549.000000000000000,scmxsu
248,254,277.000000000000000,scpych
249,255,24.000000000000000,scpypt
250,256,1019.000000000000000,smpygl
251,257,1.000000000000000,vbla__
252,258,31.000000000000000,sclach
253,259,13.000000000000000,va__we
254,260,13.000000000000000,ssambs
